datetime,open,high,low,last,evol
2025-09-04 09:55:00,16.156,16.156,16.156,16.156,103
2025-09-04 09:50:00,16.165,16.165,16.155,16.156,1006
2025-09-04 09:45:00,16.18,16.18,16.162,16.165,678
2025-09-04 09:40:00,16.152,16.152,16.152,16.152,42
2025-09-04 09:35:00,16.152,16.152,16.152,16.152,212
2025-09-04 09:30:00,16.18,16.22,16.155,16.16,134
2025-09-04 08:55:00,16.16,16.16,16.16,16.16,20
2025-09-04 08:00:00,16.16,16.16,16.16,16.16,2
2025-09-03 17:10:00,16.1599,16.1599,16.1599,16.1599,3
2025-09-03 16:20:00,16.16,16.16,16.1599,16.1599,104
2025-09-03 16:10:00,16.16,16.16,16.16,16.16,2
2025-09-03 16:00:00,16.13,16.16,16.13,16.16,5
2025-09-03 15:55:00,16.14,16.15,16.13,16.13,1594
2025-09-03 15:50:00,16.135,16.14,16.135,16.14,1202
2025-09-03 15:45:00,16.1399,16.1399,16.135,16.135,615
2025-09-03 15:40:00,16.13,16.14,16.13,16.1399,802
2025-09-03 15:35:00,16.11,16.15,16.11,16.135,580
2025-09-03 15:30:00,16.13,16.146,16.11,16.11,1223
2025-09-03 15:25:00,16.146,16.146,16.13,16.13,200
2025-09-03 15:20:00,16.14,16.146,16.1316,16.146,2101
2025-09-03 15:15:00,16.125,16.14,16.1235,16.14,330
2025-09-03 15:10:00,16.125,16.1398,16.125,16.1392,2500
2025-09-03 15:05:00,16.125,16.125,16.125,16.125,100
2025-09-03 15:00:00,16.13,16.13,16.125,16.125,222
2025-09-03 14:55:00,16.15,16.15,16.13,16.13,140
2025-09-03 14:50:00,16.11,16.15,16.11,16.15,390
2025-09-03 14:45:00,16.12,16.12,16.11,16.11,1023
2025-09-03 14:35:00,16.112,16.12,16.112,16.12,638
2025-09-03 14:30:00,16.112,16.112,16.112,16.112,41
2025-09-03 14:25:00,16.112,16.112,16.112,16.112,15
2025-09-03 14:20:00,16.12,16.12,16.112,16.112,300
2025-09-03 14:15:00,16.11,16.13,16.11,16.12,5597
2025-09-03 14:05:00,16.11,16.11,16.11,16.11,37
2025-09-03 13:55:00,16.11,16.11,16.101,16.11,337
2025-09-03 13:50:00,16.12,16.12,16.12,16.12,5
2025-09-03 13:40:00,16.1158,16.12,16.115,16.12,2100
2025-09-03 13:30:00,16.115,16.115,16.115,16.115,14
2025-09-03 13:25:00,16.11,16.115,16.11,16.115,1016
2025-09-03 13:20:00,16.12,16.12,16.11,16.11,1121
2025-09-03 13:15:00,16.115,16.12,16.115,16.12,160
2025-09-03 13:10:00,16.115,16.115,16.115,16.115,1
2025-09-03 13:05:00,16.115,16.115,16.115,16.115,3
2025-09-03 13:00:00,16.13,16.13,16.1126,16.115,2253
2025-09-03 12:55:00,16.1105,16.13,16.1105,16.12,1731
2025-09-03 12:50:00,16.1299,16.1299,16.1,16.1105,2112
2025-09-03 12:45:00,16.1165,16.1299,16.115,16.1299,1298
2025-09-03 12:40:00,16.115,16.1165,16.115,16.1165,2090
2025-09-03 12:35:00,16.103,16.13,16.103,16.115,662
2025-09-03 12:30:00,16.115,16.115,16.1003,16.1003,2053
2025-09-03 12:25:00,16.115,16.115,16.115,16.115,7
2025-09-03 12:20:00,16.11,16.115,16.1,16.115,2580
2025-09-03 12:15:00,16.115,16.13,16.11,16.11,3180
2025-09-03 12:10:00,16.1299,16.1299,16.115,16.115,1130
2025-09-03 12:05:00,16.1,16.1199,16.1,16.106,1101
2025-09-03 12:00:00,16.11,16.12,16.1,16.1,3254
2025-09-03 11:55:00,16.102,16.102,16.102,16.102,5
2025-09-03 11:50:00,16.113,16.113,16.102,16.102,1679
2025-09-03 11:40:00,16.1032,16.11,16.1,16.11,567
2025-09-03 11:35:00,16.085,16.11,16.085,16.1032,861
2025-09-03 11:30:00,16.095,16.095,16.085,16.085,800
2025-09-03 11:25:00,16.092,16.0999,16.092,16.095,1011
2025-09-03 11:20:00,16.095,16.1,16.09,16.1,2222
2025-09-03 11:15:00,16.105,16.105,16.095,16.095,1394
2025-09-03 11:10:00,16.11,16.11,16.105,16.105,1113
2025-09-03 11:05:00,16.1008,16.1008,16.1008,16.1008,19
2025-09-03 11:00:00,16.0901,16.11,16.0901,16.1008,4520
2025-09-03 10:55:00,16.094,16.0999,16.094,16.0999,2085
2025-09-03 10:50:00,16.0999,16.0999,16.094,16.094,480
2025-09-03 10:45:00,16.0948,16.0999,16.09,16.0999,484
2025-09-03 10:40:00,16.11,16.11,16.0948,16.0948,3399
2025-09-03 10:35:00,16.11,16.11,16.11,16.11,6
2025-09-03 10:30:00,16.0962,16.11,16.095,16.11,294
2025-09-03 10:25:00,16.09,16.1099,16.09,16.0962,408
2025-09-03 10:20:00,16.11,16.11,16.084,16.09,4103
2025-09-03 10:15:00,16.09,16.11,16.08,16.11,4677
2025-09-03 10:10:00,16.09,16.09,16.09,16.09,6
2025-09-03 10:05:00,16.0801,16.11,16.0801,16.09,1911
2025-09-03 10:00:00,16.07,16.08,16.07,16.08,2493
2025-09-03 09:55:00,16.102,16.105,16.07,16.07,2250
2025-09-03 09:50:00,16.102,16.102,16.102,16.102,2
2025-09-03 09:45:00,16.102,16.113,16.102,16.102,2992
2025-09-03 09:40:00,16.11,16.11,16.095,16.102,978
2025-09-03 09:35:00,16.125,16.125,16.11,16.11,849
2025-09-03 09:30:00,16.1,16.13,16.1,16.125,3309
2025-09-02 16:10:00,16.1,16.1,16.1,16.1,2
2025-09-02 16:00:00,16.105,16.105,16.1,16.1,58
2025-09-02 15:55:00,16.0883,16.105,16.0883,16.105,401
2025-09-02 15:50:00,16.11,16.11,16.0883,16.0883,3045
2025-09-02 15:45:00,16.1085,16.11,16.1,16.1,793
2025-09-02 15:40:00,16.1,16.1,16.08,16.08,295
2025-09-02 15:35:00,16.094,16.1035,16.094,16.1,5833
2025-09-02 15:30:00,16.1,16.1,16.08,16.08,143
2025-09-02 15:25:00,16.1006,16.1006,16.0942,16.1,5064
2025-09-02 15:20:00,16.1,16.1033,16.1,16.1033,726
2025-09-02 15:15:00,16.08,16.1,16.08,16.1,445
2025-09-02 15:10:00,16.08,16.08,16.08,16.08,311
2025-09-02 15:05:00,16.1,16.12,16.08,16.08,1660
2025-09-02 15:00:00,16.1,16.1,16.1,16.1,768
2025-09-02 14:55:00,16.1,16.1,16.095,16.1,4492
2025-09-02 14:50:00,16.1,16.115,16.1,16.115,619
2025-09-02 14:45:00,16.1028,16.1028,16.0925,16.1,4137
2025-09-02 14:40:00,16.1,16.12,16.0801,16.0801,803
2025-09-02 14:35:00,16.11,16.11,16.1,16.1,390
2025-09-02 14:30:00,16.1,16.11,16.1,16.11,159
2025-09-02 14:25:00,16.1199,16.1199,16.0874,16.1,2721
2025-09-02 14:20:00,16.1,16.1,16.0859,16.0859,315
2025-09-02 14:15:00,16.0984,16.1,16.0984,16.1,207
2025-09-02 14:10:00,16.0984,16.0984,16.0984,16.0984,200
2025-09-02 14:05:00,16.1006,16.1006,16.1006,16.1006,61
2025-09-02 14:00:00,16.1053,16.1053,16.1006,16.1006,203
2025-09-02 13:55:00,16.1022,16.1053,16.1022,16.1053,608
2025-09-02 13:50:00,16.1016,16.1016,16.1,16.1,128
2025-09-02 13:45:00,16.12,16.12,16.0984,16.1016,2737
2025-09-02 13:40:00,16.12,16.12,16.12,16.12,86
2025-09-02 13:35:00,16.0886,16.12,16.08,16.12,776
2025-09-02 13:30:00,16.0886,16.0886,16.0886,16.0886,52
2025-09-02 13:25:00,16.09,16.0962,16.0886,16.0886,2523
2025-09-02 13:20:00,16.0846,16.09,16.0846,16.09,1295
2025-09-02 13:15:00,16.08,16.08,16.08,16.08,38
2025-09-02 13:10:00,16.095,16.1092,16.08,16.08,5221
